"filename", "language", "HTTP", "JSON", "TypeScript", "YAML", "JavaScript", "Markdown", "JSON with Comments", "HTML", "XML", "Prisma", "SQL", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/components/UserInTopic.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 2, 21
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/components/UserProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 6, 46
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/components/VerTickets.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 7, 63
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/lib/axios.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/lib/firebase.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 19
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/pages/Chat.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 163, 0, 3, 22, 188
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/pages/Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 5, 22, 166
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/pages/Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 16, 113
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/pages/NewAccount.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 5, 14, 129
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/pages/PersonalPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 4, 70
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/styles/public.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 16
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 3, 26
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/tsconfig.node.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/lama/Documents/GitHub/esw-tsw2023/Proj04 - Devden/desenvolvimento/devden_frontend/vite.config.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 39, 14567, 657, 8161, 73, 177, 42, 13, 1, 87, 70, 939, 7, 68, 1644, 26545
